ID,Nome,Nome_Origem,Idioma_Origem,Pais_Origem,Popularidade,Nota_Votos,Contagem_Votos
97860,Tower of God,神之塔 -Tower of God-,Japonês,Japão,28.538,8.6,339
98123,The Daily Life of the Immortal King,仙王的日常生活,Chinês,China,124.606,8.6,559
98214,Villainous,Villanos,Espanhol,México,13.803,8.8,261
98986,Uzaki-chan Wants to Hang Out!,宇崎ちゃんは遊びたい！,Japonês,Japão,55.019,8.4,877
99071,Redo of Healer,回復術士のやり直し,Japonês,Japão,50.023,8.6,650
99778,The God of High School,THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール,Japonês,Japão,51.003,8.4,513
99779,Noblesse,NOBLESSE -ノブレス-,Japonês,Japão,23.991,8.6,365
99966,All of Us Are Dead,지금 우리 학교는,Coreano,Coréia do Sul,571.298,8.5,2304
100049,TONIKAWA: Over the Moon for You,トニカクカワイイ,Japonês,Japão,151.355,8.5,1155
100757,Outer Banks,Outer Banks,Inglês,Estados Unidos,44.929,8.6,448
100834,Veneno,Veneno,Espanhol,Espanha,41.889,8.4,1304
100883,Never Have I Ever,Never Have I Ever,Inglês,Estados Unidos,60.213,8.2,1168
102903,Control Z,Control Z,Espanhol,México,118.067,8.2,2071
104877,Love Is In The Air,Sen Çal Kapımı,Turco,Turquia,547.938,8.2,2443
105009,Tokyo Revengers,東京リベンジャーズ,Japonês,Japão,128.114,8.6,846
105971,Star Wars: The Bad Batch,Star Wars: The Bad Batch,Inglês,Estados Unidos,56.959,8.4,612
106292,Julie and the Phantoms,Julie and the Phantoms,Inglês,Estados Unidos,14.647,8.6,473
106600,BTS In the SOOP,In the SOOP BTS편,Coreano,Coréia do Sul,12.959,8.9,333
107113,Only Murders in the Building,Only Murders in the Building,Inglês,Estados Unidos,262.978,8.6,642
107124,Animaniacs,Animaniacs,Inglês,Estados Unidos,41.8,8.6,441
110070,Horimiya,ホリミヤ,Japonês,Japão,70.875,8.6,619
110356,My Name,마이 네임,Coreano,Coréia do Sul,84.137,8.4,514
110492,Peacemaker,Peacemaker,Inglês,Estados Unidos,222.863,8.4,1809
112163,High-Rise Invasion,天空侵犯,Japonês,Japão,31.822,8.4,610
112888,True Beauty,여신강림,Coreano,Coréia do Sul,172.161,8.6,954
114868,Record of Ragnarok,終末のワルキューレ,Japonês,Japão,164.598,8.6,1063
115004,Mare of Easttown,Mare of Easttown,Inglês,Estados Unidos,37.035,8.3,760
117376,Vincenzo,빈센조,Coreano,Coréia do Sul,57.884,8.8,529
120089,SPY x FAMILY,SPY×FAMILY,Japonês,Japão,1345.491,8.6,338
123566,Metal Family,Metal Family,Russo,Rússia (URSS) - Federação Russa,29.066,8.9,319
124834,Heartstopper,Heartstopper,Inglês,"Grã-Bretanha (Reino Unido, UK)",209.484,9.0,326
125910,Young Royals,Young Royals,Sueco,Suécia,57.174,8.8,644
130392,The D'Amelio Show,The D'Amelio Show,Inglês,Estados Unidos,15.457,9.4,2727
131927,Dexter: New Blood,Dexter: New Blood,Inglês,Estados Unidos,81.845,8.3,656
154521,The Kardashians,The Kardashians,Inglês,Estados Unidos,269.177,8.9,916
