genre,artist,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
rock,Imagine Dragons,201240,2017,80,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.556,0.556,134.945
hip hop,XXXTENTACION,119133,2017,83,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.437,0.437,134.021
hip hop,Post Malone,220293,2016,81,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.492,0.492,123.146
hip hop,Post Malone,218146,2018,83,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.129,0.129,159.801
"hip hop, pop",Cardi B,253390,2018,79,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.65,0.65,136.048
hip hop,XXXTENTACION,135090,2018,82,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.711,0.711,128.009
"hip hop, pop, Dance/Electronic",Calvin Harris,214846,2018,81,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.592,0.592,123.994
"hip hop, Dance/Electronic",Travis Scott,312820,2018,81,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.446,0.446,155.008
"pop, rock, Dance/Electronic",girl in red,184153,2018,82,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.237,0.237,129.959
"pop, Dance/Electronic",Marshmello,180822,2017,80,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.286,0.286,141.971
"hip hop, pop",NF,212120,2017,79,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.464,0.464,147.997
hip hop,Post Malone,231266,2018,80,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.341,0.341,145.038
pop,Dean Lewis,196373,2018,79,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.443,0.443,126.684
hip hop,Kendrick Lamar,213400,2017,80,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.779,0.779,126.058
"hip hop, pop",Lil Nas X,157066,2019,79,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.639,0.639,136.041
"pop, Dance/Electronic",Billie Eilish,194087,2019,83,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.562,0.562,135.128
pop,Ariana Grande,178626,2019,83,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.327,0.327,140.048
"rock, pop, Dance/Electronic",Alec Benjamin,169353,2018,82,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.483,0.483,150.073
"hip hop, Dance/Electronic",Travis Scott,312820,2018,81,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.446,0.446,155.008
pop,Lana Del Rey,202192,2019,80,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.523,0.523,144.982
pop,Dua Lipa,183290,2019,79,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.677,0.677,123.941
latin,Bad Bunny,250533,2019,81,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.244,0.244,176.169
hip hop,J. Cole,213593,2019,80,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.463,0.463,123.984
hip hop,Post Malone,231266,2018,80,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.341,0.341,145.038
pop,Jonas Brothers,181026,2019,79,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.952,0.952,137.958
hip hop,Post Malone,215280,2019,85,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.553,0.553,120.042
